LLM_Name,Scoring_Type,Correct,Total,Accuracy_Percentage
qwen2.5-72b-instruct_PAST,files_exist,20,20,100.0
qwen2.5-72b-instruct_PAST,stringmatch,60,80,75.0
qwen2.5-72b-instruct_PAST,directory_structure,20,20,100.0
qwen2.5-72b-instruct_PAST,readfile_jsonmatch,28,40,70.0
qwen2.5-72b-instruct_PAST,readfile_stringmatch,8,40,20.0
llama33-70b-instruct-PAST,files_exist,20,20,100.0
llama33-70b-instruct-PAST,stringmatch,62,80,77.5
llama33-70b-instruct-PAST,directory_structure,19,20,95.0
llama33-70b-instruct-PAST,readfile_jsonmatch,40,40,100.0
llama33-70b-instruct-PAST,readfile_stringmatch,37,40,92.5
llama4-maverick_PAST,files_exist,20,20,100.0
llama4-maverick_PAST,stringmatch,60,80,75.0
llama4-maverick_PAST,directory_structure,20,20,100.0
llama4-maverick_PAST,readfile_jsonmatch,30,40,75.0
llama4-maverick_PAST,readfile_stringmatch,33,40,82.5
llama4-scout_PAST,files_exist,20,20,100.0
llama4-scout_PAST,stringmatch,61,80,76.25
llama4-scout_PAST,directory_structure,20,20,100.0
llama4-scout_PAST,readfile_jsonmatch,17,40,42.5
llama4-scout_PAST,readfile_stringmatch,2,40,5.0
nova-premier_PAST,files_exist,20,20,100.0
nova-premier_PAST,stringmatch,10,80,12.5
nova-premier_PAST,directory_structure,15,20,75.0
nova-premier_PAST,readfile_jsonmatch,20,40,50.0
nova-premier_PAST,readfile_stringmatch,3,40,7.5
nova-pro_PAST,files_exist,20,20,100.0
nova-pro_PAST,stringmatch,29,80,36.25
nova-pro_PAST,directory_structure,9,20,45.0
nova-pro_PAST,readfile_jsonmatch,0,40,0.0
nova-pro_PAST,readfile_stringmatch,0,40,0.0
mistral-large-2_PAST,files_exist,13,20,65.0
mistral-large-2_PAST,stringmatch,49,80,61.25
mistral-large-2_PAST,directory_structure,7,20,35.0
mistral-large-2_PAST,readfile_jsonmatch,0,40,0.0
mistral-large-2_PAST,readfile_stringmatch,3,40,7.5
qwen3-turbo-latest_PAST,files_exist,20,20,100.0
qwen3-turbo-latest_PAST,stringmatch,60,80,75.0
qwen3-turbo-latest_PAST,directory_structure,20,20,100.0
qwen3-turbo-latest_PAST,readfile_jsonmatch,11,40,27.5
qwen3-turbo-latest_PAST,readfile_stringmatch,0,40,0.0
qwen3-4B_PAST,files_exist,12,20,60.0
qwen3-4B_PAST,stringmatch,57,80,71.25
qwen3-4B_PAST,directory_structure,4,20,20.0
qwen3-4B_PAST,readfile_jsonmatch,11,40,27.5
qwen3-4B_PAST,readfile_stringmatch,15,40,37.5
qwen2.5-max-latest_PAST,files_exist,20,20,100.0
qwen2.5-max-latest_PAST,stringmatch,60,80,75.0
qwen2.5-max-latest_PAST,directory_structure,19,20,95.0
qwen2.5-max-latest_PAST,readfile_jsonmatch,19,40,47.5
qwen2.5-max-latest_PAST,readfile_stringmatch,21,40,52.5
qwen3-4b-q6kl-gguf_PAST,files_exist,12,20,60.0
qwen3-4b-q6kl-gguf_PAST,stringmatch,67,80,83.75
qwen3-4b-q6kl-gguf_PAST,directory_structure,14,20,70.0
qwen3-4b-q6kl-gguf_PAST,readfile_jsonmatch,7,40,17.5
qwen3-4b-q6kl-gguf_PAST,readfile_stringmatch,12,40,30.0
qwen3-1.7B-bf16-gguf_PAST,files_exist,20,20,100.0
qwen3-1.7B-bf16-gguf_PAST,stringmatch,39,80,48.75
qwen3-1.7B-bf16-gguf_PAST,directory_structure,5,20,25.0
qwen3-1.7B-bf16-gguf_PAST,readfile_jsonmatch,2,40,5.0
qwen3-1.7B-bf16-gguf_PAST,readfile_stringmatch,6,40,15.0
qwen3-plus-latest_PAST,files_exist,18,20,90.0
qwen3-plus-latest_PAST,stringmatch,60,80,75.0
qwen3-plus-latest_PAST,directory_structure,18,20,90.0
qwen3-plus-latest_PAST,readfile_jsonmatch,28,40,70.0
qwen3-plus-latest_PAST,readfile_stringmatch,35,40,87.5
qwen3-4b-bf16-gguf,files_exist,17,20,85.0
qwen3-4b-bf16-gguf,stringmatch,61,80,76.25
qwen3-4b-bf16-gguf,directory_structure,13,20,65.0
qwen3-4b-bf16-gguf,readfile_jsonmatch,9,40,22.5
qwen3-4b-bf16-gguf,readfile_stringmatch,15,40,37.5
