LLM_Name,Test_ID,Timestamp,Total_Questions,Correct_Answers,Accuracy_Percentage
qwen3-turbo-latest_quicktest,test_20250626_131340,20250626_132712,80,36,45.0
nova-pro_quicktest,test_20250626_132911,20250626_134017,80,28,35.0
nova-premier_quicktest,test_20250626_134104,20250626_135930,80,45,56.25
llama33-70b_quicktest,llama33-70b_quicktest,20250626_142813,80,80,100.0
mistral-large-2407_quicktest,test_20250626_143646,20250626_151243,80,7,8.75
llama4-scout_quicktest,test_20250626_151335,20250626_161902,80,39,48.75
llama4-maverick_quicktest,test_20250626_161954,20250626_164612,80,80,100.0
qwen3-plus-latest_quicktest,test_20250626_165338,20250626_175332,80,70,87.5
qwen2.5-72b-instruct_quicktest,test_20250626_175526,20250626_181020,80,22,27.5
qwen3-4b_quicktest,test_20250626_185430,20250626_202854,80,49,61.25
